日期,开盘,收盘,最高,最低,成交量,成交额
2013-03-15,2.623,2.632,2.679,2.585,3259273,315394304.0
2013-03-18,2.585,2.582,2.638,2.579,936962,90173448.0
2013-03-19,2.588,2.601,2.601,2.542,1080500,103293942.0
2013-03-20,2.601,2.679,2.682,2.595,501195,48889379.0
2013-03-21,2.679,2.71,2.713,2.666,698244,69241889.0
2013-03-22,2.71,2.722,2.725,2.691,609433,60703968.0
2013-03-25,2.722,2.713,2.725,2.691,305027,30328652.0
2013-03-26,2.694,2.682,2.704,2.648,53698,5278054.0
2013-03-27,2.679,2.691,2.719,2.632,261330,25885673.0
2013-03-28,2.641,2.607,2.648,2.57,92337,8949443.0
2013-03-29,2.61,2.61,2.629,2.598,752013,72583858.0
2013-04-01,2.613,2.626,2.648,2.607,206581,20035098.0
2013-04-02,2.61,2.592,2.657,2.585,30991,2985610.0
2013-04-03,2.595,2.573,2.601,2.557,67983,6459777.0
2013-04-08,2.476,2.579,2.579,2.476,622151,58463783.0
2013-04-09,2.579,2.607,2.61,2.579,180617,17313595.0
2013-04-10,2.585,2.598,2.616,2.579,68806,6595486.0
2013-04-11,2.616,2.592,2.616,2.579,148657,14239722.0
2013-04-12,2.576,2.567,2.592,2.56,273677,26093684.0
2013-04-15,2.551,2.514,2.551,2.504,53918,5050966.0
2013-04-16,2.458,2.548,2.551,2.458,84854,7877978.0
2013-04-17,2.545,2.573,2.579,2.539,109547,10374714.0
2013-04-18,2.511,2.582,2.598,2.511,49992,4763475.0
2013-04-19,2.588,2.645,2.651,2.588,72931,7074970.0
2013-04-22,2.632,2.663,2.663,2.629,38986,3800810.0
2013-04-23,2.648,2.576,2.657,2.573,59785,5766126.0
2013-04-24,2.579,2.635,2.635,2.573,33109,3180337.0
2013-04-25,2.638,2.598,2.654,2.598,194566,18910335.0
2013-04-26,2.601,2.548,2.604,2.539,139317,13201783.0
2013-05-02,2.539,2.557,2.567,2.526,149678,14134554.0
2013-05-03,2.582,2.62,2.626,2.582,99260,9581122.0
2013-05-06,2.62,2.673,2.679,2.62,218750,21383197.0
2013-05-07,2.666,2.679,2.691,2.66,182404,17976965.0
2013-05-08,2.676,2.71,2.713,2.676,169101,16756390.0
2013-05-09,2.71,2.71,2.716,2.679,81281,8064364.0
2013-05-10,2.701,2.729,2.732,2.701,231993,23186255.0
2013-05-13,2.716,2.738,2.744,2.716,232168,23288040.0
2013-05-14,2.735,2.704,2.735,2.688,111260,11072561.0
2013-05-15,2.707,2.75,2.75,2.707,286416,28713138.0
2013-05-16,2.729,2.785,2.797,2.725,320783,32555206.0
2013-05-17,2.76,2.828,2.841,2.76,277023,28488130.0
2013-05-20,2.85,2.869,2.875,2.825,298205,31047463.0
2013-05-21,2.869,2.906,2.912,2.859,287895,30247728.0
2013-05-22,2.9,2.881,2.919,2.866,405936,42765238.0
2013-05-23,2.878,2.856,2.912,2.85,130442,13716774.0
2013-05-24,2.856,2.903,2.906,2.85,159660,16747556.0
2013-05-27,2.906,2.934,2.943,2.906,74176,7901108.0
2013-05-28,2.937,2.947,2.95,2.894,81982,8727988.0
2013-05-29,2.947,2.965,2.975,2.947,72717,7820906.0
2013-05-30,2.968,2.975,2.984,2.95,138719,14956884.0
2013-05-31,2.975,2.962,3.0,2.959,57540,6238331.0
2013-06-03,2.903,2.94,2.972,2.903,38302,4095516.0
2013-06-04,2.925,2.872,2.931,2.844,86852,9130288.0
2013-06-05,2.869,2.884,2.897,2.856,27112,2843815.0
2013-06-06,2.878,2.825,2.878,2.825,48548,5051309.0
2013-06-07,2.828,2.766,2.844,2.75,73539,7480704.0
2013-06-13,2.75,2.676,2.75,2.62,46612,4576993.0
2013-06-14,2.676,2.744,2.747,2.676,71502,7145319.0
2013-06-17,2.757,2.744,2.769,2.725,91162,9175830.0
2013-06-18,2.76,2.754,2.766,2.719,23273,2341203.0
2013-06-19,2.754,2.741,2.754,2.694,182892,18223941.0
2013-06-20,2.716,2.641,2.732,2.638,123985,12301666.0
2013-06-21,2.632,2.62,2.638,2.532,200857,19236144.0
2013-06-24,2.623,2.439,2.623,2.411,51936,4807900.0
2013-06-25,2.436,2.426,2.501,2.221,265349,23771950.0
2013-06-26,2.414,2.483,2.483,2.408,107005,9710948.0
2013-06-27,2.492,2.433,2.532,2.426,70677,6493908.0
2013-06-28,2.445,2.439,2.489,2.395,32684,2974186.0
2013-07-01,2.436,2.492,2.666,2.42,131081,11929317.0
2013-07-02,2.486,2.545,2.548,2.483,38897,3626154.0
2013-07-03,2.498,2.545,2.551,2.414,35898,3351661.0
2013-07-04,2.526,2.57,2.604,2.517,22960,2179541.0
2013-07-05,2.585,2.557,2.607,2.557,38722,3700358.0
2013-07-08,2.476,2.448,2.557,2.448,21116,1941723.0
2013-07-09,2.439,2.458,2.464,2.426,11148,1014767.0
2013-07-10,2.458,2.548,2.551,2.458,26172,2421862.0
2013-07-11,2.56,2.635,2.66,2.554,45124,4354707.0
2013-07-12,2.629,2.61,2.666,2.604,43731,4251191.0
2013-07-15,2.629,2.663,2.666,2.613,35475,3462780.0
2013-07-16,2.663,2.701,2.701,2.648,26874,2647048.0
2013-07-17,2.688,2.66,2.716,2.648,19628,1938302.0
2013-07-18,2.632,2.654,2.673,2.623,17654,1719130.0
2013-07-19,2.654,2.585,2.679,2.585,20164,1966350.0
2013-07-22,2.573,2.641,2.641,2.551,12801,1222279.0
2013-07-23,2.648,2.713,2.716,2.645,37278,3680395.0
2013-07-24,2.704,2.729,2.741,2.679,27967,2781022.0
2013-07-25,2.754,2.676,2.754,2.669,18895,1876236.0
2013-07-26,2.657,2.669,2.685,2.632,27178,2658904.0
2013-07-29,2.641,2.607,2.663,2.607,8542,827156.0
2013-07-30,2.607,2.592,2.626,2.545,28636,2739168.0
2013-07-31,2.595,2.61,2.645,2.595,31050,3002719.0
2013-08-01,2.62,2.694,2.694,2.616,67234,6597596.0
2013-08-02,2.704,2.701,2.729,2.697,25838,2569377.0
2013-08-05,2.697,2.754,2.754,2.697,38805,3901012.0
2013-08-06,2.601,2.785,2.797,2.601,34761,3496784.0
2013-08-07,2.782,2.744,2.8,2.741,186075,18894994.0
2013-08-08,2.729,2.75,2.778,2.729,178031,18001833.0
2013-08-09,2.769,2.766,2.788,2.732,17844,1798872.0
2013-08-12,2.766,2.822,2.825,2.766,69252,7099476.0
2013-08-13,2.813,2.834,2.834,2.813,146122,15082398.0
2013-08-14,2.825,2.819,2.85,2.806,108316,11226940.0
2013-08-15,2.816,2.778,2.828,2.775,18041,1849902.0
2013-08-16,2.76,2.71,2.828,2.71,88424,9035871.0
2013-08-19,2.691,2.763,2.766,2.688,196289,19727073.0
2013-08-20,2.754,2.744,2.782,2.738,15723,1592045.0
2013-08-21,2.744,2.766,2.772,2.741,11203,1131867.0
2013-08-22,2.772,2.782,2.794,2.763,30062,3066889.0
2013-08-23,2.729,2.772,2.803,2.719,28488,2878414.0
2013-08-26,2.778,2.841,2.844,2.772,46370,4763169.0
2013-08-27,2.838,2.866,2.866,2.834,38817,4035211.0
2013-08-28,2.847,2.847,2.875,2.791,30967,3216333.0
2013-08-29,2.847,2.847,2.856,2.819,26617,2758621.0
2013-08-30,2.838,2.813,2.866,2.797,65511,6801753.0
2013-09-02,2.825,2.819,2.834,2.788,13614,1397365.0
